2.1212	2.77972
2.12483	15.7286
2.12848	23.4263
2.13214	24.5311
2.13581	25.5055
2.1395	30.7285
2.1432	41.4733
2.14691	54.9952
2.15063	62.7769
2.15437	68.8331
2.15812	80.7146
2.16188	94.8469
2.16566	105.342
2.16945	114.105
2.17325	124.773
2.17707	134.574
2.1809	149.996
2.18474	167.176
2.1886	180.701
2.19247	193.793
2.19635	214.032
2.20025	236.733
2.20416	257.735
2.20809	277.23
2.21202	296.337
2.21598	320.782
2.21995	345.361
2.22393	366.131
2.22792	395.181
2.23193	421.067
2.23596	452.202
2.24	482.829
2.24405	514.305
2.24812	545.677
2.25221	579.219
2.25631	615.872
2.26042	654.058
2.26455	685.796
2.26869	718.375
2.27285	755.608
2.27702	796.668
2.28121	843.572
2.28542	889.907
2.28964	936.937
2.29388	990.421
2.29813	1039.57
2.3024	1092.3
2.30668	1147.62
2.31098	1204.95
2.31529	1266.36
2.31963	1324.87
2.32397	1383.68
2.32834	1451.36
2.33272	1521.12
2.33712	1592.87
2.34153	1672.24
2.34596	1756.36
2.35041	1839.54
2.35487	1916.15
2.35935	1994.31
2.36385	2088.62
2.36837	2189.12
2.3729	2284.35
2.37745	2390.75
2.38202	2493.58
2.3866	2614.98
2.3912	2744.98
2.39583	2883.65
2.40046	3020.26
2.40512	3153.9
2.4098	3309.68
2.41449	3476.95
2.4192	3646.08
2.42393	3817.78
2.42868	3995.56
2.43344	4206.16
2.43823	4416.85
2.44303	4640.42
2.44786	4849.83
2.4527	5064.83
2.45756	5303.81
2.46244	5549.04
2.46734	5792
2.47226	6013.57
2.4772	6255.05
2.48216	6518.07
2.48714	6776.96
2.49214	7040.29
2.49716	7281.32
2.5022	7549.73
2.50726	7825.04
2.51234	8104.14
2.51744	8373.41
2.52256	8631.6
2.52771	8911.43
2.53287	9213.97
2.53805	9516.78
2.54326	9810.41
2.54849	10107.1
2.55374	10455.2
2.55901	10815.3
2.5643	11177.2
2.56962	11536.9
2.57495	11893.6
2.58031	12297
2.58569	12721
2.5911	13141.4
2.59652	13524.6
2.60197	13919.1
2.60744	14357.9
2.61294	14797.9
2.61846	15234
2.624	15603.9
2.62956	16015.6
2.63515	16442.4
2.64077	16857.8
2.6464	17245.2
2.65206	17607.2
2.65775	18025
2.66346	18457.8
2.66919	18902.2
2.67495	19321.5
2.68073	19718.2
2.68654	20126.8
2.69238	20563.5
2.69824	20975.8
2.70412	21376
2.71003	21752
2.71597	22187.9
2.72193	22658.6
2.72792	23132.6
2.73394	23600.3
2.73998	24127.7
2.74605	24730.5
2.75214	25373.2
2.75826	26050.5
2.76441	26686
2.77059	27381.5
2.7768	28180.6
2.78303	29007.4
2.78929	29856.2
2.79558	30610.9
2.8019	31480.7
2.80824	32346.6
2.81462	33169.8
2.82102	33875.2
2.82746	34457.4
2.83392	35009.6
2.84041	35422
2.84693	35676.1
2.85349	35784.2
2.86007	35749.7
2.86668	35545.7
2.87333	35168.5
2.88	34636.5
2.8867	34011.9
2.89344	33343.8
2.90021	32457.1
2.90701	31465.6
2.91384	30398.3
2.92071	29401.7
2.9276	28285.4
2.93453	27016.7
2.94149	25695.2
2.94849	24315.9
2.95552	23035.1
2.96258	21560.3
2.96968	19967.7
2.97681	18342.9
2.98397	16775.2
2.99117	15408.3
2.9984	13878.6
3.00567	12343
3.01298	10860.4
3.02032	9514.91
3.02769	8308.86
3.0351	7006.93
3.04255	5765.13
3.05004	4614.92
3.05756	3671.48
3.06512	2846.12
3.07271	2060.58
3.08035	1434.71
3.08802	956.053
3.09573	638.105
3.10348	411.882
3.11127	245.764
3.11909	136.175
3.12696	65.8098
3.13487	28.8062
